               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.029405,            0.026504,           0.0010162,              0.7628,             0.68761,             0.71975,             0.36229,            0.040593,             0.01388,          0.00032265,            0.006931,            0.006931,            0.006931
                  95,            0.030432,            0.027646,           0.0011598,             0.69327,             0.73166,             0.73819,             0.38186,            0.036703,            0.014002,          0.00038734,            0.006898,            0.006898,            0.006898
                  96,            0.029736,            0.027248,           0.0012316,             0.51618,             0.66257,              0.6352,             0.31544,            0.037481,             0.01661,          0.00049864,            0.006865,            0.006865,            0.006865
                  97,            0.029856,            0.026562,           0.0013526,             0.60094,             0.73462,             0.67436,             0.31833,            0.037585,            0.014605,          0.00037681,            0.006832,            0.006832,            0.006832
                  98,             0.02966,            0.027003,           0.0010688,             0.72434,             0.57763,             0.61639,             0.30752,            0.047483,            0.017752,           0.0013595,            0.006799,            0.006799,            0.006799
                  99,            0.030304,            0.026535,            0.001176,              0.6024,             0.68052,             0.63595,             0.32039,            0.036993,            0.015678,          0.00055876,            0.006766,            0.006766,            0.006766
                 100,            0.029839,            0.025736,           0.0012899,             0.70024,             0.72117,             0.68573,             0.33897,            0.034269,            0.015044,          0.00081877,            0.006733,            0.006733,            0.006733
                 101,            0.029285,            0.026517,          0.00090312,             0.61352,             0.70407,             0.65717,             0.31729,            0.040031,            0.015416,          0.00037905,              0.0067,              0.0067,              0.0067
                 102,             0.02976,            0.026598,           0.0010336,             0.64128,             0.73037,             0.72802,             0.38987,            0.038191,            0.013432,          0.00035132,            0.006667,            0.006667,            0.006667
                 103,             0.02978,            0.026016,          0.00078498,             0.71144,             0.75443,             0.73371,             0.38384,             0.03807,            0.014374,           0.0004681,            0.006634,            0.006634,            0.006634
                 104,            0.029266,            0.025757,          0.00094915,             0.60371,             0.73533,             0.68438,             0.37311,            0.038697,            0.015403,          0.00045465,            0.006601,            0.006601,            0.006601
                 105,            0.029425,             0.02611,           0.0009499,             0.74258,             0.75501,             0.75027,               0.377,            0.039053,            0.015359,          0.00067878,            0.006568,            0.006568,            0.006568
                 106,            0.028682,            0.026046,          0.00082313,             0.61493,             0.79866,             0.71342,              0.3241,            0.041313,            0.014331,          0.00056388,            0.006535,            0.006535,            0.006535
                 107,             0.02898,            0.026196,           0.0010017,              0.5928,             0.74488,             0.67883,             0.28845,            0.039124,            0.016885,          0.00037058,            0.006502,            0.006502,            0.006502
                 108,            0.028952,            0.026307,          0.00091695,             0.75453,             0.71635,             0.72879,             0.36669,              0.0368,            0.015202,          0.00042187,            0.006469,            0.006469,            0.006469
                 109,            0.028652,            0.027172,          0.00078756,             0.74475,             0.74699,              0.7568,             0.40385,            0.037086,            0.014021,          0.00031332,            0.006436,            0.006436,            0.006436
                 110,            0.029176,            0.026475,          0.00088719,             0.78536,             0.73182,             0.78836,             0.40413,            0.038622,              0.0147,          0.00058255,            0.006403,            0.006403,            0.006403
                 111,            0.029057,            0.025794,          0.00096151,             0.68072,             0.67836,             0.68958,             0.32496,            0.042543,            0.015666,          0.00052505,             0.00637,             0.00637,             0.00637
                 112,            0.028974,             0.02661,           0.0010197,             0.63233,               0.815,             0.72618,             0.42471,            0.035851,             0.01419,          0.00041103,            0.006337,            0.006337,            0.006337
                 113,            0.028548,            0.026082,          0.00089512,             0.59284,             0.76607,             0.66555,              0.3024,            0.036541,            0.015009,          0.00036317,            0.006304,            0.006304,            0.006304
                 114,            0.028543,             0.02585,           0.0011854,             0.72573,             0.77333,              0.8299,              0.4551,            0.037195,            0.013042,          0.00037477,            0.006271,            0.006271,            0.006271
                 115,            0.028617,            0.025883,           0.0010198,             0.78336,             0.68524,             0.72435,             0.38896,            0.038015,            0.014711,          0.00044272,            0.006238,            0.006238,            0.006238
                 116,            0.028647,            0.025563,          0.00099105,               0.637,             0.80439,             0.69203,              0.3263,            0.041467,            0.014352,          0.00046656,            0.006205,            0.006205,            0.006205
                 117,            0.028159,            0.025289,           0.0010088,             0.64288,             0.77533,             0.68913,             0.38162,            0.038073,            0.014641,          0.00052774,            0.006172,            0.006172,            0.006172
                 118,            0.028232,            0.025946,          0.00086205,             0.60714,             0.80962,             0.71687,             0.39555,            0.036229,            0.014585,          0.00059729,            0.006139,            0.006139,            0.006139
                 119,            0.028163,            0.025969,          0.00084033,              0.6695,             0.69223,             0.69983,             0.38328,             0.03761,            0.014977,          0.00043401,            0.006106,            0.006106,            0.006106
                 120,            0.028404,            0.025105,          0.00080805,             0.69697,             0.80494,             0.75608,             0.36066,            0.038212,            0.014392,          0.00041234,            0.006073,            0.006073,            0.006073
                 121,            0.028446,            0.025311,            0.001164,             0.56218,             0.81331,             0.71014,             0.42043,            0.036924,            0.014873,          0.00039352,             0.00604,             0.00604,             0.00604
                 122,            0.027825,            0.025627,          0.00070879,             0.68699,             0.78141,             0.75052,             0.37374,            0.039021,             0.01436,          0.00047842,            0.006007,            0.006007,            0.006007
                 123,            0.028075,            0.025155,          0.00094012,             0.67169,             0.78507,             0.79016,             0.33731,            0.040273,            0.014282,          0.00043581,            0.005974,            0.005974,            0.005974
                 124,            0.028488,             0.02583,          0.00074737,             0.67196,             0.76166,             0.72792,             0.31173,            0.038194,            0.015805,          0.00032042,            0.005941,            0.005941,            0.005941
                 125,            0.028341,            0.025147,           0.0013717,             0.78212,              0.7742,             0.78447,             0.34447,            0.041643,            0.014929,          0.00049462,            0.005908,            0.005908,            0.005908
                 126,            0.028158,            0.024967,           0.0007101,             0.61416,             0.78332,             0.73092,             0.42516,            0.038278,            0.014052,          0.00036729,            0.005875,            0.005875,            0.005875
                 127,            0.027916,            0.024935,           0.0007346,             0.62804,             0.78436,              0.7341,             0.37122,            0.038165,            0.015703,          0.00037703,            0.005842,            0.005842,            0.005842
                 128,            0.027912,            0.025567,          0.00089196,              0.6531,             0.76046,             0.72559,              0.4072,            0.036307,            0.014993,          0.00036393,            0.005809,            0.005809,            0.005809
                 129,            0.028185,            0.025326,          0.00098877,             0.66698,             0.74498,             0.71767,             0.38952,            0.037465,            0.015406,          0.00035832,            0.005776,            0.005776,            0.005776
                 130,            0.027708,            0.025071,          0.00088121,              0.7368,             0.81333,             0.82562,             0.49202,            0.035682,            0.012388,           0.0003426,            0.005743,            0.005743,            0.005743
                 131,            0.028149,            0.024853,          0.00077346,             0.78298,             0.75615,             0.77242,             0.39857,             0.03761,             0.01405,          0.00046887,             0.00571,             0.00571,             0.00571
                 132,            0.027465,            0.024504,          0.00083463,             0.61092,             0.80076,             0.70902,             0.34954,             0.03755,            0.014687,          0.00045943,            0.005677,            0.005677,            0.005677
                 133,            0.028033,            0.024924,          0.00095957,             0.65868,             0.76759,             0.69683,             0.35418,            0.037813,            0.016084,          0.00083372,            0.005644,            0.005644,            0.005644
                 134,            0.027989,             0.02462,           0.0011661,             0.73448,             0.83583,             0.78701,             0.38527,             0.03762,             0.01417,          0.00049883,            0.005611,            0.005611,            0.005611
